text,sentiment,model,topic,cleaned
"Oh, green indicator for does not use.
Red for use.
Green+Red : some use, some doesn't
It's mean, sinovac some use, some doesn't use HEK 293.
Hihi, it's mean depends the luckily byself in every area😅.
#JustDon'tThinkThisProblem https://t.co/rr6EgSTK1m https://t.co/PI6RhQThFf",,cnn-lstm,sinovac,green indicator use red use greenred use mean sinovac use use hek hihi mean depends luckily byself every area tthinkthisproblem
RT @tripperhead: Explainer thread on the new @HKUMed Vaccine Effectiveness study announced today comparing BioNTech Comirnaty vaccine and S…,,cnn-lstm,sinovac,explainer thread new vaccine effectiveness study announce today compare biontech comirnaty vaccine
"@Birdyword That was why BOTH 'Curried Lamb' and 'Broomhead Ip""  took Pfizers as their Booster shot.  Simply because their immune systems from those first 2 doses of Sinovac had 0% effectiveness.",,cnn-lstm,sinovac,curry lamb broomhead take pfizers booster shot simply immune system first dos sinovac effectiveness
RT @Birdyword: Only 77.4% efficacy against death for two doses of Sinovac would be the number keeping Chinese policymakers awake at night.…,,cnn-lstm,sinovac,efficacy death dos sinovac would number keep chinese policymakers awake night
"RT @selina_cheng: They released these numbers as of March 19 midnight over the weekend, immediately after Ming Pao obtained related numbers…",,cnn-lstm,sinovac,release number march midnight weekend immediately ming pao obtain related number
"RT @Sinovac: African Union proposes a target that, by 2040, 60% of vaccines needed in Africa shall be locally produced. To do so, SINOVAC s…",,cnn-lstm,sinovac,african union proposes target vaccine need africa shall locally produce sinovac
"RT @Bhekisisa_MG: [LISTEN] Will South Africa buy #Sinopharm or #Sinovac jabs in 2022? No, says @HealthZA. Find out why. https://t.co/cGFSyU…",,cnn-lstm,sinovac,listen south africa buy jab say find
@kjoules @ryanlcooper sinovac is effective,,cnn-lstm,sinovac,sinovac effective
"RT @tripperhead: Vaccine Effectiveness against severe/fatal disease in those aged 60+ after three doses

BioNTech: 98.0

Sinovac: 97.9",,cnn-lstm,sinovac,vaccine effectiveness severefatal disease age dos biontech sinovac
"Explainer thread on the new @HKUMed Vaccine Effectiveness study announced today comparing BioNTech Comirnaty vaccine and Sinovac Coronavac vaccine.

tl;dr? Nah you should read it. https://t.co/ssItd3Fkcx",,cnn-lstm,sinovac,explainer thread new vaccine effectiveness study announce today compare biontech comirnaty vaccine sinovac coronavac vaccine nah read
"RT @kjoules: .@natashakhanhk asked if HKU is surprised by the real world data of the Sinovac vaccine. 3 possible answers:
1. Prior data rel…",,cnn-lstm,sinovac,ask hku surprised real world data sinovac vaccine possible answer prior data rel
"Together to gradually realize upstream and downstream local production of vaccines products in SA, to meet the demand in SA in the short term, and further supply the local produced portfolios to the whole continent, to finally realize self-sufficient supply in entire continent.",,cnn-lstm,sinovac,together gradually realize upstream downstream local production vaccine product meet demand short term supply local produce portfolio whole continent finally realize selfsufficient supply entire continent
"We plan to establish a long-term collaboration with its strategic partner Numolux on clinical study, local manufacturing, and supply of vaccines.",,cnn-lstm,sinovac,plan establish longterm collaboration strategic partner numolux clinical study local manufacturing supply vaccine
"African Union proposes a target that, by 2040, 60% of vaccines needed in Africa shall be locally produced. To do so, SINOVAC started communication and established collaborations with its partners in the African continent. 
https://t.co/X32gBCF6g2",,cnn-lstm,sinovac,african union proposes target vaccine need africa shall locally produce sinovac start communication establish collaboration partner african continent
@kjoules And that bias is certainly dropping sinovac’s efficiency by few points since the most vulnerable took this vaccine. (Especially those in care homes),,cnn-lstm,sinovac,bias certainly drop sinovacs efficiency point since vulnerable take vaccine especially care home
"@njstone9 We didn't evaluate crossover strategies, very few ppl in HK got Sinovac+BioNTech as first+second dose

We weren't able to look at effectiveness of S+S+B yet, but planning to look at it soon. Would expect it to provide more durable protection than S+S+S",,cnn-lstm,sinovac,evaluate crossover strategy ppl get sinovacbiontech firstsecond dose unable look effectiveness ssb yet planning look soon would expect provide durable protection
"@bencowling88 If already had 2 doses of Sinovac, doesn't matter so much if 3rd dose is Sinovac or BnT.

But if only 1 dose of Sinovac, 2nd dose should be BnT?",,cnn-lstm,sinovac,already dos sinovac matter much dose sinovac bnt dose sinovac dose bnt
"@bencowling88 Could I summarise as follows?

If &lt;60 and healthy, two doses of either vaccine is sufficient.

If &gt;60 and healthy, two doses of BnT probably sufficient. Less so for Sinovac.

If &gt;60 and with underlying conditions, three doses absolutely essential.",,cnn-lstm,sinovac,could summarise follow healthy dos either vaccine sufficient healthy dos bnt probably sufficient less sinovac underlie condition dos absolutely essential
"RT @tripperhead: Professor Yuen Kwok-yung: ‘eradication of the virus will not happen’

• urges residents to get vaccinated to brace for fut…",,cnn-lstm,sinovac,professor yuen kwokyung eradication virus dematerialize urge resident get vaccinate brace fut
@bencowling88 That still appears to be greater than 84% of those who have died with a vaccination have come from an injection(s) of Sinovac.,,cnn-lstm,sinovac,still appear great die vaccination come injection sinovac
"We're able to report our estimates of the effectiveness of COVID-19 vaccines, led by @martinamc_m with @joshnealon @gmleunghku 

Both BNT and Sinovac vaccines provide good protection against severe Omicron BA.2; but elderly who received 2xSinovac need a 3rd dose of vaccine
(1/15)",,cnn-lstm,sinovac,able report estimate effectiveness covid vaccine lead bnt sinovac vaccine provide good protection severe omicron elderly receive xsinovac need dose vaccine
RT @Birdyword: The bright side of the data of course is that if the 3-dose figure holds up then all the discussion about China desperately…,,cnn-lstm,sinovac,bright side data course dose figure hold discussion china desperately
@Melissa_Jhnsn Can you offer any reason why 2.1m sinovac people will lose their vacc. status on 1st April for what reason? They’re not the high risk group yet they lose their social life even though we know vaccines DO NOT stop spread virus. It’s appalling &amp; embarrassing discrimination,,cnn-lstm,sinovac,offer reason sinovac people lose vacc status april reason high risk group yet lose social life even though know vaccine begin spread virus appal embarrass discrimination
"RT @bloombergquint: Data indicating the Sinovac Biotech's #Covid19 vaccine is less effective than an mRNA vaccine is a red flag.

https://t…",,cnn-lstm,sinovac,data indicate sinovac biotech vaccine less effective mrna vaccine red flag
"@verity_blue @CalSauer @Emmyjewel This could be a factor as well. Sinovac is touted as not being as efficacious as other vaccine brands.

https://t.co/PLFUHeY0cw",,cnn-lstm,sinovac,could factor well sinovac tout nonbeing efficacious vaccine brand
RT @CDlbcl: Great thread summarising the covid situation in HK. The research was funded by Chinese CDC who are clearly watching HK carefull…,,cnn-lstm,sinovac,great thread summarise covid situation research fund chinese cdc clearly watch carefull
"RT @goldencaskcap: 💯The fascination of certain circles with China ""needing"" mRNA to exit from zero covid is rather strange. Not to mention…",,cnn-lstm,sinovac,fascination certain circle china need mrna exit covid rather strange mention
@rjmendoza444 @andrewtanyongyi @PaulMainwood Am I correct to conclude that Sinovac x3 has good (&gt;90%) short &amp; long term protection.,,cnn-lstm,sinovac,correct conclude sinovac good short long term protection
"@DemainLuis @iamguidodavid @dzbb @dzrhnews @DZAR1026 @News5PH @allangatus @ali_sotto @dwiz882 @NewsRmn @PhilstarNews @manilabulletin @gmanews @alvinelchico @cnnphilippines @UNTVNewsRescue @rapplerdotcom @inquirerdotnet @wengsalvacion @AthenaImperial_ @angelagunzad @BomboRadyoNews I have family and friends from abroad wondering why our cases are so low wen theirs are high even if they’re population is highly vaccinated already (and Hindi Sinovac daw😂)

Probably the masking nga",,cnn-lstm,sinovac,family friend abroad wonder case low wen high even population highly vaccinate already hindi sinovac daw probably mask nga
"Great thread summarising the covid situation in HK. The research was funded by Chinese CDC who are clearly watching HK carefully.

TL;DR time to move away from zero covid; sinovac and BioNtech efficacy against death: both 98% for 3 doses. Sinovac poor in 60+ for 1 or 2 doses. https://t.co/Yd6Yvmzc4i",,cnn-lstm,sinovac,great thread summarise covid situation research fund chinese cdc clearly watch carefully time move away covid sinovac biontech efficacy death dos sinovac poor dos
"So surely don't limit elderly access target your risk groups HK. The elderly don't prefer Sinovac they probably can't get it if they want it? 3/end
https://t.co/bQ3zDIhU5z",,cnn-lstm,sinovac,surely limit elderly access target risk group elderly prefer sinovac probably leave want end
@phish73 @tripperhead Really? It’s not the hk gov proudly lining up to get sinovac shots? You don’t think the Chinese gov refusal to release data is important?,,cnn-lstm,sinovac,really gov proudly line get sinovac shot forget chinese gov refusal release data important
RT @nathanhammond: /cc @goldencaskcap greater emphasis on early vaccination and multiple doses for non-mRNA vaccines and everything should…,,cnn-lstm,sinovac,great emphasis early vaccination multiple dos nonmrna vaccine everything
"/cc @goldencaskcap greater emphasis on early vaccination and multiple doses for non-mRNA vaccines and everything should turn out alright.

Numbers here seem to correlate pretty well with the chart we saw from Mingpao, including and especially the one-dose Sinovac.",,cnn-lstm,sinovac,great emphasis early vaccination multiple dos nonmrna vaccine everything turn alright number seem correlate pretty well chart saw mingpao include especially sinovac
"@goldencaskcap I wonder what effect the ""Sinovac is useless"" (or simply Chinese vax in general) trope has on dissuading people from taking it / taking it seriously. Perhaps not so much within Mainland China but outside of it. It's surely an extremely irresponsible (pernicious) and deadly lie.",,cnn-lstm,sinovac,wonder effect sinovac useless simply chinese vax general trope dissuade people take take seriously perhaps much within mainland china outside surely extremely irresponsible pernicious deadly lie
"💯The fascination of certain circles with China ""needing"" mRNA to exit from zero covid is rather strange. Not to mention they ignore fact that Sinovac ranks in the lower half in terms of efficacy amonst domestic vaccines they do have. https://t.co/dgSK8L1k3J",,cnn-lstm,sinovac,fascination certain circle china need mrna exit covid rather strange mention ignore fact sinovac rank low half term efficacy amonst domestic vaccine
"RT @NewsBFM: The CanSino Bio Covid-19 vaccine has been approved for use as a booster shot in Malaysia.

JKJAV says it can only be taken by…",,cnn-lstm,sinovac,cansino bio covid vaccine approve use booster shot malaysia jkjav say take
I feel embarrassed for those who for months claimed Sinovac was ineffective https://t.co/mvdGbj66S8,,cnn-lstm,sinovac,feel embarrass month claimed sinovac ineffective
@Birdyword 1 shot of BNT is almost as effective in preventing death as 2 shots of Sinovac for 60+.,,cnn-lstm,sinovac,shot bnt almost effective prevent death shot sinovac
Great thread on next steps for Hong Kong. Really highlights how well managed the transmission to endemicity in Australia was managed and the lives that were saved compared to a quixotic zero strategy. Sinovac's slightly lower efficacity much less important than low 60+ vax rates. https://t.co/cZDUvjGttS,,cnn-lstm,sinovac,great thread next step hong kong really highlight well manage transmission endemicity australia manage life save compare quixotic strategy sinovac slightly low efficacity much less important low vax rate
@BobsYou82437555 @tripperhead I think westerners calling sinovac garbage and saline etc is what started this whole politicisation of something that saves lives. The best vaccine is the one you inject not the one you talk about or hope to get etc....,,cnn-lstm,sinovac,think westerner call sinovac garbage saline etc start whole politicisation something save life best vaccine inject talk hope get etc
"The bright side of the data of course is that if the 3-dose figure holds up then all the discussion about China desperately needing an mRNA vaccine will prove to be basically untrue, looks from this like 3 doses of Sinovac is functionally identical.",,cnn-lstm,sinovac,bright side data course dose figure hold discussion china desperately need mrna vaccine prove basically untrue look like dos sinovac functionally identical
"@tripperhead 2 doses of Biontech is already sufficient in preventing severe/fatal cases &gt;95%, unlike Sinovac.",,cnn-lstm,sinovac,dos biontech already sufficient prevent severefatal case unlike sinovac
@David69396295 @tripperhead HKU's numbers are in line with other data (vs prior variants). BioNTech is my preference b/c it protects vs omicron infection for ~2+ months after boosting. But 3 shots of SinoVac still does an excellent job of preventing severe disease and death.,,cnn-lstm,sinovac,hku number line data prior variant biontech preference protects omicron infection month boost shot sinovac still excellent job prevent severe disease death
"RT @Newzroom405: Sinovac and it's South African partner, Numolux, are manufacturing the Coronavac vaccine in the country. Coronavac is an i…",,cnn-lstm,sinovac,sinovac south african partner numolux manufacturing coronavac vaccine country coronavac
"@David69396295 @tripperhead Sigh, another Twitter expert citing a news report over a scientist. 1/ Protection doesn't start until 2-3wk after inoculation 2/ One dose is not fully protected, which is reflected in the HKU slide as well 3/ VE needs to be age-adjusted; elderly have preferred Sinovac.",,cnn-lstm,sinovac,sigh another twitter expert cite news report scientist protection middle inoculation dose meagerly protect reflect hku slide well need ageadjusted elderly prefer sinovac
@phish73 @tripperhead Whoah whoah I believe you! Myocarditis is a real issue which is being under-addressed (because in the world we live in you cannot be pro-vaccine and discuss side effects anymore). I am dissing Sinovac before all the other haters get here. I myself have taken it.,,cnn-lstm,sinovac,whoah whoah believe myocarditis real issue underaddressed world live differ provaccine discus side effect anymore diss sinovac hater get take
@David69396295 @tripperhead It's important that people &gt;60 get FULLY VACCINATED ASAP. BioNTech gets you there in 2 doses (so 5 weeks total) Sinovac gets you there in 3 doses (13 weeks minimum?),,cnn-lstm,sinovac,important people get fully vaccinate asap biontech get dos week total sinovac get dos week minimum
"@phish73 @highcarbwarrior @tripperhead Absolutely.  Our unvaccinated kids just had Omicron in Feb (1/2 day of fever / body ache then fine for 7 days), but if we are to vaccinate it will be Sinovac.  However, we need to wait a few months before that.",,cnn-lstm,sinovac,absolutely unvaccinated kid omicron feb day fever body ache fine day vaccinate sinovac however need wait month
Covid-19: Gov’t defends efficacy of China-made Sinovac jab following report about death rate https://t.co/3S1xH1qWPG,,cnn-lstm,sinovac,covid govt defends efficacy chinamade sinovac jab follow report death rate
@spectatorindex Side effects of Sinovac,,cnn-lstm,sinovac,side effect sinovac
"@David69396295 @tripperhead It doesn't match other reports because they are looking at different ages. This report is age &gt;60, MingPao reported age &gt;80.

Just over 50% aged over 60 died after 1 dose of sinovac, so MingPao's report of 87% for people over 80 is plausible.

More importantly, look at 2 doses+",,cnn-lstm,sinovac,disagree report look different age report age mingpao report age age die dose sinovac mingpao report people plausible importantly look dos
".@natashakhanhk asked if HKU is surprised by the real world data of the Sinovac vaccine. 3 possible answers:
1. Prior data relies on antibody response, which is just one source of data determining VE.
2. The waning effect: much of the population is recently fully vaccinated …",,cnn-lstm,sinovac,ask hku surprised real world data sinovac vaccine possible answer prior data relies antibody response source data determine wan effect much population recently fully vaccinate
@my_sejahtera ，  I took my sinovac booster on 16 Dec 2021 but till now the booster details yet reflect my sejahtera and I been tried to sent email and also reported the issue thru mysejahtera but issue still yet resolve,,cnn-lstm,sinovac,take sinovac booster dec till booster detail yet reflect sejahtera try sent email also report issue thru mysejahtera issue still yet resolve
@David69396295 @tripperhead 1 shot of Sinovac does not provide you with protection. Vast majority of deaths are from unvaccinated or less than 3 shots. No contradiction with HKU data here.,,cnn-lstm,sinovac,shot sinovac provide protection vast majority death unvaccinated less shot contradiction hku data
"@kjoules @Birdyword @natashakhanhk Check the results for 2 doses, these are in line with past medical research papers (Sinovac being few % points behind BioNTech)...

The results for 3rd dose is unfortunately within confidence level and irrelevant on that 2-3% difference",,cnn-lstm,sinovac,check result dos line past medical research paper sinovac point behind biontech result dose unfortunately within confidence level irrelevant difference
"@David69396295 @tripperhead Large majority of the elderly got Sinovac, and those who did largely got fewer than 3 doses",,cnn-lstm,sinovac,large majority elderly get sinovac largely get few dos
@David69396295 @tripperhead Those numbers not volume adjusted - more elderly have taken sinovac hence more death from covid. Statistics 101.,,cnn-lstm,sinovac,number softness adjust elderly take sinovac hence death covid statistic
"@David69396295 @tripperhead My vague recollection of the trends of the daily death figures suggests that, of the vaccinated, most are single dose.

This suggests to me that the 2nd Sinovac dose in particular is critical. And many ran out of time.",,cnn-lstm,sinovac,vague recollection trend daily death figure suggests vaccinate single dose suggests sinovac dose particular critical many ran time
@__earth Those numbers for Sinovac at three doses are pretty terrible... and seems mightily convenient that there are those gaps incl mortality data for 20-60?,,cnn-lstm,sinovac,number sinovac dos pretty terrible seem mightily convenient gap incl mortality data
"RT @azmanrocks: @sirkulangka17 In the last two weeks, I treated 5 covid patients who require intubation and support by ventilator machine.…",,cnn-lstm,sinovac,last week treat covid patient require intubation support ventilator machine
"Only 77.4% efficacy against death for two doses of Sinovac would be the number keeping Chinese policymakers awake at night. Only ~50% of over-80s in China are vaccinated at all, drops to ~20% for three doses of anything. https://t.co/VfwC7OfWym",,cnn-lstm,sinovac,efficacy death dos sinovac would number keep chinese policymakers awake night over china vaccinate drop dos anything
"@sirkulangka17 In the last two weeks, I treated 5 covid patients who require intubation and support by ventilator machine. 4 were unvaccinated. 1 was vaccinated with Sinovac but did not receive booster.",,cnn-lstm,sinovac,last week treat covid patient require intubation support ventilator machine unvaccinated vaccinate sinovac sayfarewell booster
@tripperhead I this they will find out the effectiveness of sinovac ebbs much more quickly over time. Almost the 3rd doses in hk are very fresh,,cnn-lstm,sinovac,find effectiveness sinovac ebb much quickly time almost dos fresh
"@tripperhead Putting aside sinovac findings, It requires a HK study to to come to the same conclusion the rest of the world has had for 18 months?",,cnn-lstm,sinovac,put aside sinovac finding require study come conclusion rest world month
@tripperhead It's all lies. Sinovac is saline. Very effective saline nevertheless. #saiditfirst,,cnn-lstm,sinovac,lie sinovac saline effective saline nevertheless
"RT @tripperhead: Vaccine Effectiveness against severe/fatal disease in those aged 60+ after three doses

BioNTech: 98.0

Sinovac: 97.9 http…",,cnn-lstm,sinovac,vaccine effectiveness severefatal disease age dos biontech sinovac http
RT @business: Young children who received two doses of China’s Sinovac vaccine gained “modest” defenses against omicron infections and high…,,cnn-lstm,sinovac,young child receive dos china sinovac vaccine gain modest defense omicron infection high
"RT @DrAmarMOH: Chile study on Sinovac:
""Effectiveness of CoronaVac in children 3-5 years during Omicron SARS-CoV-2 outbreak.""
""estimated va…",,cnn-lstm,sinovac,chile study sinovac effectiveness coronavac child year omicron sarscov outbreak estimate
"@chiakisimpbot Well, news in the west says otherwise. Perhaps misinformed, they are...
https://t.co/mai8Jzx7Ob

https://t.co/g9cAimZnmt",,cnn-lstm,sinovac,well news west say otherwise perhaps misinform
"@cmhk258 As far as I know, 3× Sinovac",,cnn-lstm,sinovac,far know sinovac
"@td12212 I’m talking about Hong Kong here. Most people in Hong Kong aren’t taking Sinovac. And China is seeing outbreaks again from Hong Kong’s local cases, the shutdowns are to prevent the virus from spreading. I literally live in Hong Kong 😕",,cnn-lstm,sinovac,talk hong kong people hong kong refuse sinovac china see outbreak hong kongs local case shutdown prevent virus spread literally live hong kong
"@chiakisimpbot @MoreUh @BenMFreeman Sinovac and Sinopharm used in china...the situation is a lot better than in hongkong but massive shutdowns are happening to control it...no one wants it to become like hong kong is the point...
https://t.co/hsyuK1Mj1T",,cnn-lstm,sinovac,sinovac sinopharm use chinathe situation lot well hongkong massive shutdown happen control itno want become like hong kong
"its your patriotic duty to defend sinovac
Covid-19: Gov't defends efficacy of China-made Sinovac jab following report about death rate - Hong Kong Free Press HKFP https://t.co/EkjXSgC24H",,cnn-lstm,sinovac,patriotic duty defend sinovac covid govt defends efficacy chinamade sinovac jab follow report death rate hong kong free press hkfp
"@noonefromhkg @gabrielladriver @HarveyZZed @selina_cheng mRNA vaccines have been available for more than a year already and tens, even hundreds, of millions of people have already taken it.  But yes: I've indeed heard of people in HK taking Sinovac to deal with the vaccine passport because they're still suspicious of mRNA vaccines. 🙄",,cnn-lstm,sinovac,mrna vaccine available year already ten even hundred million people already take yes indeed heard people take sinovac deal vaccine passport still suspicious mrna vaccine
@td12212 @MoreUh @BenMFreeman Most people aren't even taking Sinovac... and the situation is China is a lot better than in Hong Kong. get your facts straight,,cnn-lstm,sinovac,people odd take sinovac situation china lot well hong kong get fact straight
@whoisamelia4 @mongjihyo_rm It depends on the exact components that she's allergic to. I also think that Ji Hyo won't take the risk. She must be afraid of a dangerous allergic reaction so she won't take Sinovac even if it becomes available. She just needs to wait for the laws to let the unvaccinated travel.,,cnn-lstm,sinovac,depends exact component allergic also think hyo refuse risk must afraid dangerous allergic reaction refuse sinovac even becomes available need wait law let unvaccinated travel
@CHMA0302 @mongjihyo_rm i heard that people who have allergic to western medicines like sjh can take vaccine BUT only sinovac. but in S. k there's no sinovac right?,,cnn-lstm,sinovac,heard people allergic western medicine like sjh take vaccine sinovac sinovac right
"""Pharmaniaga faced significant challenges in implementing the fill-finish process of the Sinovac vaccine""
Opportunity lost.",,cnn-lstm,sinovac,pharmaniaga face significant challenge implement fillfinish process sinovac vaccine opportunity lose
"Tak nampak pula those apologists meroyan kenapa Pharmaniaga tak diberikan this sublicence.
After all they did a sterling job in the ""fill and finish"" of Sinovac vaccine sehingga ""ada foreign countries nak beli Sinovac dari Pharmaniaga"" https://t.co/BUJAgiramc",,cnn-lstm,sinovac,tak nampak pula apologist meroyan kenapa pharmaniaga tak diberikan sublicence sterling job fill finish sinovac vaccine sehingga ada foreign country nak beli sinovac dari pharmaniaga
"RT @May_Kek_: Almost 87% of Hong Kongers who died from Covid after getting at least one dose of vaccine received Sinovac’s shot, Ming Pao r…",,cnn-lstm,sinovac,almost hong kongers die covid get least dose vaccine receive sinovacs shot ming pao
@InsightGL @ChinaSpox_India @SolomonYue @GordonGChang @nathanlawkc @joshuawongcf This is true Phase 4 result of Sinovac!!,,cnn-lstm,sinovac,true phase result sinovac
RT @SayNoToSino: Sinovac’s Low Efficacy in Hong Kong Is a Worrying Sign for China  https://t.co/Ri6X0X6eTg,,cnn-lstm,sinovac,sinovacs low efficacy hong kong worry sign china
@Contrarian_View Also read an article that talked about blood cancer instances for sinovac,,cnn-lstm,sinovac,also read article talk blood cancer instance sinovac
😷 Sinovac COVID vaccine shows modest efficacy against SARS-CoV-2 infection in children 3 to 5 years - https://t.co/O8YmxH6oPa 👉 https://t.co/LsWfXE7u5b 💊 #Medical #GroupZirigoza,,cnn-lstm,sinovac,sinovac covid vaccine show modest efficacy sarscov infection child year
China will give another five million out of the promised 20 million doses of the Sinovac vaccine to Cambodia at the end of this month besides supplying the medical tools and expertise to fight the Covid-19 pandemic. https://t.co/aX043vp5Dw,,cnn-lstm,sinovac,china give another promise dos sinovac vaccine cambodia end month besides supply medical tool expertise fight covid pandemic
RT @Jay_Watt: Almost 87% of Hong Kongers who died from Covid with at least one dose of #vaccine received Sinovac. Data indicating the Sinov…,,cnn-lstm,sinovac,almost hong kongers die covid least dose receive sinovac data indicate sinov
"Those who took the Sinovac or Cansino Bio vaccine as primer doses can take the jab as a booster dose.

#MalaysiaNow #MNow #MNowNews #Malaysia #CanSino #sinovac #boosterdose #covid 

https://t.co/A56ZuBXrZB",,cnn-lstm,sinovac,take sinovac cansino bio vaccine primer dos take jab booster dose
"@Cnut_real Oh shit, I'm dosed with Sinovac.",,cnn-lstm,sinovac,shit dose sinovac
RT @XHNews: A plane carrying another batch of China-donated Sinovac COVID-19 vaccine arrived in the capital of Cambodia on Tuesday amid the…,,cnn-lstm,sinovac,plane carry another batch chinadonated sinovac covid vaccine arrive capital cambodia tuesday amid
"RT @drStuartGilmour: This is important globally because, due to western greed and selfishness, Sinovac remains the main vaccine being distr…",,cnn-lstm,sinovac,important globally due western greed selfishness sinovac remains main vaccine distr
"This is important globally because, due to western greed and selfishness, Sinovac remains the main vaccine being distributed to low-income countries. For example, 2/3 of all vaccines administered in Kenya were donated Sinovac shots. https://t.co/G4JaH3NkOt",,cnn-lstm,sinovac,important globally due western greed selfishness sinovac remains main vaccine distribute lowincome country example vaccine administer kenya donate sinovac shot
"Obviously this is a policy issue for HK and mainland China, which can be solved by using interventions to prevent COVID-19 importation and transmission while booster shots are distributed and vaccine uptake improved. But it’s not a sign that Sinovac doesn’t work.",,cnn-lstm,sinovac,obviously policy issue mainland china solve use intervention prevent covid importation transmission booster shot distribute vaccine uptake improve sign sinovac idle
"This is why we see the huge drop in effectiveness for two doses relative to 1 or 3: because the two dose people are seeing waning immunity and haven’t got their third dose yet. This waning immunity is happening more in older, higher-risk people who took Sinovac early.",,cnn-lstm,sinovac,see huge drop effectiveness dos relative dose people see wan immunity leave third dose yet wan immunity happen old higherrisk people take sinovac early
"The second issue that is more pertinent to the low efficacy of two-dose Sinovac is timing. Sinovac was rolled out much earlier than BioNTech, which only took off from September. This figure shows the proportion of all people in two indicative age groups who received each vaccine. https://t.co/BpC6KwdnPf",,cnn-lstm,sinovac,second issue pertinent low efficacy sinovac timing sinovac roll much earlier biontech take september figure show proportion people indicative age group receive vaccine
"We know that mortality risk increases significantly with age, as this slide from Hong Kong’s Centre for Health Protection shows. A different balance of age groups will give a different balance of mortality risks, and we should expect Sinovac to look worse than BioNTech. https://t.co/jO4NLZKFRm",,cnn-lstm,sinovac,know mortality risk increase significantly age slide hong kongs centre health protection show different balance age group give different balance mortality risk expect sinovac look bad biontech
"First the risk profile. I obtained data on total vaccines administered by type in Hong Kong, by age. This slide shows the % of all double-vaxxed over-60s by 10-year age group, by vaccine type. Sinovac recipients were *much* more likely to be older. https://t.co/l2iH5auPGH",,cnn-lstm,sinovac,first risk profile obtain data total vaccine administer type hong kong age slide show doublevaxxed over year age group vaccine type sinovac recipient much likely old
"Let’s look at this slide in detail. 2-dose Sinovac gives 77% protection against death in over 60s, but 3-dose Sinovac gives 98% protection. This is weird, and it suggests that there’s more to this story than a weak vaccine: Risk profile and timing. Let’s look at these. https://t.co/6OuKlOc6v7",,cnn-lstm,sinovac,let look slide detail dose sinovac give protection death dose sinovac give protection weird suggests story weak vaccine risk profile timing let look
"A recent presentation by Hong Kong University (HKU) professors has been used by the usual China “experts” and journalists to argue that reliance on China’s vaccine, Sinovac, compared to BioNTech’s mRNA vaccine was a bad idea, with tweets like this. https://t.co/w3FGfhf8ha",,cnn-lstm,sinovac,recent presentation hong kong university hku professor use usual china expert journalist argue reliance china vaccine sinovac compare biontechs mrna vaccine bad idea tweet like
Always nauseous and feeling like vomiting after Sinovac jab :/ https://t.co/fpzTSttojy,,cnn-lstm,sinovac,always nauseous feel like vomit sinovac jab
